,feature,class
0,"[-3.8677570e+02  1.8517813e+02 -2.9811876e+01  1.2254722e+01
  4.2489098e+01 -1.4960073e+01 -2.7359149e+00  1.2703678e+01
 -1.5061318e+01 -6.4644508e+00  4.0971155e+00 -1.0511198e+01
 -3.1330013e+00  3.0172880e+00 -7.9713864e+00 -4.2582207e+00
 -3.3979604e-01 -6.0380130e+00 -3.1248963e+00 -1.6442853e+00
 -5.0811429e+00 -3.0097952e+00 -2.4710917e+00 -3.5111406e+00
 -3.0800698e+00 -5.8182511e+00 -5.7127972e+00 -3.6989038e+00
 -6.3850727e+00 -5.5780029e+00 -3.0478439e+00 -6.2162814e+00
 -6.1325250e+00 -3.4167807e+00 -5.4175615e+00 -5.0694475e+00
 -2.5868835e+00 -3.9301014e+00 -3.8497300e+00 -2.3701603e+00]",akash
1,"[-4.0475589e+02  1.6952423e+02 -3.4098152e+01  8.0808811e+00
  3.3807465e+01 -2.3341370e+01 -1.0543692e+01  4.4900651e+00
 -1.9346819e+01 -7.7045307e+00  4.3458447e-01 -1.4955381e+01
 -5.2162867e+00  1.9325449e+00 -8.6308031e+00 -5.2938762e+00
 -2.0423398e+00 -5.3324919e+00 -1.5813284e+00 -3.2414076e+00
 -5.9531646e+00 -1.2852907e+00 -3.2934532e+00 -5.4685173e+00
 -1.9262551e+00 -4.8808265e+00 -6.3866291e+00 -2.5784228e+00
 -4.7352667e+00 -5.8874531e+00 -3.4113474e+00 -5.6446133e+00
 -6.1432371e+00 -3.7989991e+00 -4.9895654e+00 -4.7647963e+00
 -3.0890198e+00 -3.1977184e+00 -1.3534045e+00 -5.6262136e-02]",akash
2,"[-4.5790625e+02  1.3671925e+02 -1.3993755e+01  7.6793880e+00
  2.7117529e+01 -1.3986173e+01 -6.3071656e+00  1.2032201e+01
 -2.8593614e+00  5.0949939e-02  8.1697378e+00 -2.0978322e+00
 -1.9487419e+00  2.1823001e+00 -3.0892000e+00 -2.7253423e+00
 -2.8577824e+00 -7.3308721e+00 -4.6903062e+00 -3.5809000e+00
 -7.0637760e+00 -5.3322072e+00 -4.5639381e+00 -6.4125547e+00
 -3.7321589e+00 -2.1622248e+00 -3.7918365e+00 -3.7265646e+00
 -4.7170725e+00 -6.4379725e+00 -5.6335864e+00 -5.0316992e+00
 -4.7609682e+00 -3.8527470e+00 -4.4224892e+00 -4.8881693e+00
 -3.8639646e+00 -3.0976706e+00 -2.3538888e+00 -2.0091796e+00]",akash
3,"[-416.07578    188.42595    -45.392323     9.870244    42.322147
  -23.107317    -8.04683      7.456227   -19.723295    -5.4078026
    1.6229619  -16.277292    -4.0396442    1.6009799  -11.107664
   -4.7115197   -1.8705347   -7.9689407   -2.458387    -2.3420641
   -6.4259157   -2.9477835   -4.651296    -6.398404    -3.2896566
   -6.2756414   -7.4066987   -4.142439    -5.729529    -5.4447093
   -3.5778263   -6.0352626   -5.0886      -2.704633    -4.6064687
   -4.676958    -3.9904957   -5.1097355   -3.9422245   -2.7443388]",akash
4,"[-383.62897     180.18144     -42.557625      1.5801047    36.17518
  -22.745132    -13.860919      2.8597178   -19.80091      -9.381423
   -0.8646177   -14.862034     -5.2389026     0.62826365  -10.669803
   -6.6733284    -2.7847574    -6.4340105    -2.5032985    -3.8205295
   -7.2288303    -1.9405189    -2.176663     -4.9228754    -2.4188526
   -4.5468516    -6.4954515    -4.0470676    -5.4215813    -5.908838
   -4.079837     -5.812023     -5.4826226    -3.293954     -4.6680894
   -5.1832676    -4.638251     -4.742138     -2.4663932    -0.847254  ]",akash
5,"[-4.33865173e+02  1.63536270e+02 -4.92463188e+01  3.00493026e+00
  3.75372429e+01 -2.22302876e+01 -1.00612135e+01  9.53593636e+00
 -1.24178867e+01 -3.89261198e+00  9.18901503e-01 -1.38135643e+01
 -3.66695356e+00  2.85903335e-01 -9.95962048e+00 -1.96443951e+00
  5.85543454e-01 -6.69966078e+00 -1.43119049e+00 -1.26103866e+00
 -6.63011503e+00 -1.75265598e+00 -1.57799923e+00 -6.81548023e+00
 -5.32734919e+00 -4.60017347e+00 -5.06666660e+00 -3.60730100e+00
 -4.93995619e+00 -4.15421438e+00 -1.42846012e+00 -3.59288836e+00
 -4.27841139e+00 -1.80665672e+00 -3.05554795e+00 -4.43934774e+00
 -2.66178203e+00 -1.17756200e+00 -5.66046834e-01 -7.15653837e-01]",akash
6,"[-421.45163     160.15068     -26.669022      7.801247     38.532444
  -12.693409    -10.253958      4.8595595   -13.870795     -8.175057
    0.42499453  -10.840962     -5.54998       1.3256203    -6.242506
   -6.0357256    -4.072989     -5.911885     -2.1836498    -2.621991
   -6.078203     -3.5079956    -3.9725704    -6.2281947    -4.3920174
   -5.3828754    -6.3354115    -3.978315     -4.9921093    -6.2322235
   -5.037869     -6.0184364    -6.0574527    -4.3203044    -4.9686894
   -5.1779943    -4.068028     -4.116067     -3.3799348    -1.722389  ]",akash
7,"[-4.1122446e+02  1.4280278e+02 -8.4382133e+00  2.0169575e+01
  3.6567291e+01 -1.1088383e+01 -2.6020219e+00  1.2246559e+01
 -1.0681812e+01 -8.6545906e+00  2.2949796e+00 -6.0328112e+00
 -3.5739131e+00  2.2524035e-01 -6.2221990e+00 -4.2735996e+00
 -4.0432701e+00 -8.5617256e+00 -3.0523419e+00 -1.2937281e+00
 -6.9474144e+00 -4.4681191e+00 -2.1383045e+00 -5.4340630e+00
 -4.7652073e+00 -3.7923779e+00 -5.0620146e+00 -4.3899970e+00
 -4.7399278e+00 -4.9706707e+00 -3.0522122e+00 -3.4313464e+00
 -4.2203827e+00 -3.3496888e+00 -4.0307617e+00 -3.8904040e+00
 -2.1047664e+00 -1.7300996e+00 -2.5042370e-01  1.7871753e+00]",akash
8,"[-385.99197    173.9241     -28.700636     5.1350026   33.484364
  -17.474516    -8.830352     3.3164005  -19.737606   -10.943994
   -2.9401257  -15.12968     -5.8357334    0.56088     -8.7394085
   -5.348798    -2.3215666   -5.6718097   -2.6275506   -4.40772
   -6.8638606   -1.3120861   -2.140818    -5.633871    -3.6306486
   -5.5896587   -7.424718    -4.9641066   -5.708489    -5.615101
   -3.7686162   -5.73767     -5.79709     -3.7200062   -4.6433454
   -4.403       -3.25008     -3.5778651   -2.089674    -1.1970893]",akash
9,"[-431.93002    168.17534    -25.344206     6.4154496   34.278404
  -14.818174    -8.752205     3.4898434  -14.926176    -4.7548347
    1.2083938  -12.766899    -4.546542     1.0025134   -9.23041
   -5.483939    -1.6112971   -6.48251     -3.8443325   -2.8607564
   -5.3550057   -2.0764494   -1.850408    -3.9600449   -2.9551966
   -5.1252403   -6.42986     -4.204724    -5.3682756   -5.7072716
   -3.5700793   -4.8111005   -5.098838    -3.0676472   -3.9226274
   -4.8545127   -4.272563    -4.717897    -4.6995277   -4.2311783]",akash
10,"[-4.1667609e+02  1.3326376e+02 -2.2840912e+01  1.6816156e+01
  3.8269718e+01 -1.6862577e+01 -1.0000623e+01  1.1467126e+01
 -8.5600328e+00 -8.0367641e+00  2.7601044e+00 -5.2076654e+00
 -3.8012331e+00  1.0347125e-01 -4.7681293e+00 -2.0452099e+00
 -1.3331568e+00 -6.9331136e+00 -4.8396602e+00 -2.7517259e+00
 -4.5337553e+00 -2.9192321e+00 -3.6081245e+00 -5.5487428e+00
 -3.5179436e+00 -3.7910588e+00 -5.0180106e+00 -3.4331477e+00
 -4.1218882e+00 -5.2383833e+00 -3.8332062e+00 -3.7133074e+00
 -3.8387311e+00 -3.0865366e+00 -3.4450128e+00 -2.7509758e+00
 -1.1621671e+00 -1.4028049e+00 -1.8936543e+00 -1.7797132e+00]",akash
11,"[-374.73904    164.9048     -26.123543    13.090048    38.162857
  -25.351538   -17.26234     10.553154   -12.009694   -13.754908
   -1.0286305   -7.709901    -3.8831384    0.9378416   -6.787484
   -4.82083     -2.7012997   -7.306069    -3.7300885   -2.7383697
   -6.7185802   -2.8771863   -2.1147034   -6.6100726   -5.0369973
   -4.6093907   -6.715445    -4.479071    -4.48277     -6.4547377
   -4.748432    -4.732176    -5.9058495   -4.4903994   -4.7528505
   -5.430068    -3.6301496   -2.989529    -2.826937    -1.2333933]",akash
12,"[-425.52087    157.22997    -15.073651     9.148047    30.953268
  -14.71385     -8.49689      5.948963   -12.002201    -6.475846
    1.2934427   -9.634198    -4.763675     1.5223228   -5.6699643
   -5.9497085   -5.262764    -7.1532865   -2.9977512   -4.5410976
   -8.83092     -4.451829    -3.6231372   -6.942524    -4.659555
   -4.116182    -5.8663945   -4.2365856   -4.476929    -5.550902
   -3.749879    -3.8593774   -5.0510335   -4.5525846   -5.008229
   -4.6383004   -2.0165036   -1.0446938   -1.7818724   -1.7279134]",akash
13,"[-3.8423196e+02  1.7081694e+02 -2.3776533e+01  1.1039318e+01
  3.5026630e+01 -2.4164667e+01 -1.1624604e+01  1.4006454e+01
 -1.4223883e+01 -1.5533471e+01  2.6512587e+00 -4.1389041e+00
 -4.7364659e+00  5.1875991e-01 -5.7577901e+00 -5.8879933e+00
 -2.8029225e+00 -5.4662266e+00 -5.1510606e+00 -5.0344753e+00
 -5.8361301e+00 -3.2677534e+00 -3.8939469e+00 -5.1857300e+00
 -3.3015656e+00 -5.1550121e+00 -6.6699824e+00 -4.0027180e+00
 -4.7652235e+00 -6.6538334e+00 -5.6770720e+00 -6.2402577e+00
 -6.3738713e+00 -4.5843859e+00 -4.8754292e+00 -4.8707280e+00
 -2.7299895e+00 -1.3999141e+00 -9.3160912e-02  1.5918556e+00]",akash
14,"[-386.4124     178.21199    -18.796854     7.7349105   34.034283
  -12.969468    -4.45045      7.0591497  -15.923834    -7.418868
    1.4518946  -12.193377    -4.636019     3.7644677   -6.147665
   -5.3243093   -0.4201204   -3.3502748   -3.1735716   -4.2830114
   -5.715417    -1.7449172   -1.8233422   -3.741458    -2.4498415
   -4.745492    -6.3762236   -4.2341323   -4.937793    -4.919614
   -2.9891284   -4.394892    -4.886541    -3.5712512   -4.807586
   -5.55314     -5.1864      -5.6263967   -4.7174125   -3.8490176]",akash
15,"[-398.96848    161.69798    -26.759583    14.523022    33.22688
  -22.073536    -6.5641356    5.7556014  -19.079294    -7.598564
   -1.7197715  -17.002813    -6.8944526   -1.5119765  -10.209657
   -3.1873884   -1.0636626   -6.952939    -2.5604465   -2.7367296
   -6.0269785   -2.733221    -4.464286    -6.0111628   -3.116714
   -5.715626    -6.1173954   -2.8843234   -5.529411    -6.203007
   -3.5467072   -4.82999     -4.579223    -3.6601012   -6.058354
   -5.456169    -3.7124977   -4.652496    -3.7606716   -2.633772 ]",akash
